Meter Consumption ID,Usage/Quantity,Cost ($),Start Date,End Date,Meter Name
2849140875,438928,84594.32,3/29/19,4/29/19,EL1
2939492150,1774635,118147.01,4/30/19,5/29/19,EL1
3077563602,770479,118522.84,5/30/19,6/27/19,EL1
3113803734,1483767,162321.68,6/28/19,7/29/19,EL1
3187400522,597586,113556.16,7/30/19,8/27/19,EL1
3289354971,710774,124349.42,8/28/19,9/26/19,EL1
3363311882,964363,107210.06,9/27/19,10/25/19,EL1
3428271298,602619,92454.82,10/26/19,11/25/19,EL1
3697877771,439271,60895.71,11/26/19,12/11/19,EL1
3697877772,2029,39773.49,12/12/19,12/27/19,EL1
3697944483,213665,66236.2,12/28/19,1/28/20,EL1
3890577593,127944,74402.19,1/29/20,2/27/20,EL1
4608728136,77848,72395.8,2/28/20,3/27/20,EL1
4608832023,1428436,121684.22,3/28/20,4/28/20,EL1
4609083654,2319373,153816.13,4/29/20,5/28/20,EL1
4609111055,3328946,229797.28,5/29/20,6/26/20,EL1
4610702994,4396280,304366.4,6/27/20,7/28/20,EL1
4611133479,3614224,246317.7,7/29/20,8/26/20,EL1
4611317694,2413814,218453.3,8/27/20,9/23/20,EL1
4611561426,0,0,9/24/20,10/26/20,EL1
4611558511,244508,87195.45,10/27/20,11/24/20,EL1
4611730840,512438,102275.08,11/25/20,12/28/20,EL1
4622121606,289243,138157.3,12/29/20,1/27/21,EL1
2457926467,140,63.87,12/1/16,1/3/17,EL2
2458139560,14,50.32,1/3/17,2/1/17,EL2
2458148000,4,51.94,2/1/17,3/3/17,EL2
2458155704,91,62.83,3/3/17,4/3/17,EL2
2464653407,87,62.72,4/3/17,5/3/17,EL2
2465381512,197,77.61,5/3/17,6/2/17,EL2
2465381609,396,134.48,6/2/17,7/3/17,EL2
2465397691,437,143,7/3/17,8/2/17,EL2
2465456718,302,162.34,8/2/17,10/2/17,EL2
2465542300,130,63.96,10/2/17,10/31/17,EL2
2465771770,105,255.75,10/31/17,4/4/18,EL2
2465798170,14,49.82,4/4/18,5/3/18,EL2
2465826384,19,50.07,5/3/18,6/4/18,EL2
2465837784,370,117.06,6/4/18,7/3/18,EL2
